domaine,subDomine,label,altLabels
Science,Medical sciences,Drugs,"Medicinal drugs, Medicines, Pharmaceuticals"
Culture,Religion,Moslems,Muslims
Science,Natural sciences,Plant diseases,"Phytopathology, Plant pathology"
Culture,Cultural policy and planning,Cultural programmes,Cultural projects
Countries and country groupings,Europe,Czech Republic,Czechia
Science,Physical sciences,Sound wave propagation,Acoustic wave propagation
Science,Biology,Motor development,
"Politics, law and economics",Politics and government,Political movements,
"Politics, law and economics",Equipment and facilities,Hydrographs,
Social and human sciences,Population,Brain drain,
"Politics, law and economics",Labour,Labour economics,
Culture,Religion,Saints,Martyrs
Culture,Performing arts,Pantomime,
Education,Basic and general study subjects,Alcohol education,
"Politics, law and economics",Human rights,Concentration camps,
"Politics, law and economics","Civil, military and mining engineering",Warfare,
Information and communication,Information industry,Broadcasting programmes,
Countries and country groupings,Americas and the Caribbean,Americas,
Education,Educational systems and levels,Lifelong education,"Continuing education, Continuous learning, Lifelong learning, Permanent education"
Education,Educational sciences and environment,Comparative education,
"Politics, law and economics",Politics and government,World government,World state
Education,Educational planning,Teacher supply,
Science,Meteorology,Atmospheric pressure,
Education,Basic and general study subjects,Statistics education,
Social and human sciences,Social problems,Drug traffic,
Culture,Art,Composers,
"Politics, law and economics",Economics,Economic cooperation,
Science,Geography and oceanography,Oceanographic research,
"Politics, law and economics",Materials and products,Clays,Kaolin
Countries and country groupings,Europe,Germany FR,
Education,Educational management,School leaving,"School leavers, School leaving age"
Science,Natural sciences,Plants,
Culture,Cultural policy and planning,Cultural participation,Cultural attendance
"Politics, law and economics",Legal systems,Theft protection,
Information and communication,Information management,Library use promotion,Library public relations
"Politics, law and economics",Equipment and facilities,Seismometers,Seismographs
Culture,Performing arts,Orchestras,
Science,Geography and oceanography,Land forms,
"Politics, law and economics",Manufacturing and transport engineering,Microelectronics,
Science,Geography and oceanography,Grasslands,
Information and communication,Communication research and policy,Information theory,"Coding, Communication theory, Decoding, Messages"
Science,Science and research management,Appropriate technology,"Alternative technology, Intermediate technology"
Culture,Languages,Maldivian,"Divehi, Dhivehi"
Culture,Languages,Awadhi,"Abadi, Abohi, Ambodhi, Avadhi, Baiswari, Kojali, Kosali"
Education,Educational administration,Teacher qualifications,
"Politics, law and economics",Industry,Pharmaceutical industry,"Drug firms, pharmaceutical companies"
Information and communication,Information sources,Childrens books,
Culture,Linguistics,Acronyms,
Science,Geography and oceanography,Bathymetric charts,
Social and human sciences,Social problems,Gender discrimination,Sex discrimination
Information and communication,Information sources,Indexes,"Citation indexes, Index bulletins, KWIC indexes, KWOC indexes, Periodical indexes, Permuted indexes, Subject indexes"
Science,Space sciences,Celestial mechanics,
"Politics, law and economics",Materials and products,Gas fuels,
Countries and country groupings,Europe,Central and Eastern Europe,"Eastern Europe, Central Europe"
Science,Natural sciences,Marine algae,"Marine plants, Seaweed, Seaweeds"
"Politics, law and economics",Economics,Planned economy,Centrally planned economy
Culture,Languages,African languages,
Science,Geography and oceanography,Pacific Ocean,
"Politics, law and economics",Economics,Input output analysis,
"Politics, law and economics",Industry,Business economics,
Education,Educational facilities,Educational video,
Science,Earth sciences,Quaternary,Ice age
"Politics, law and economics",Labour,Gender division of labour,Sexual division of labour
Information and communication,Communication research and policy,Book costs,
Education,Educational administration,Educational associations,
Social and human sciences,Social systems,Social adaptation,Social adjustment
Education,Educational facilities,Lesson plans,Lesson notes
"Politics, law and economics",Economics,Socio-economic indicators,"Cost of living index, Economic indicators"
"Politics, law and economics",Politics and government,Pluralism,
Science,"Pollution, disasters and safety",Acid rain,
Social and human sciences,Population,Foreigners,"Aliens, Noncitizens"
Science,Scientific approach,Benchmarking,Comparative evaluation
"Politics, law and economics",Personnel management,Managerial characteristics,
Science,Scientific approach,Observation,
Science,Natural sciences,Zoogeography,Animal distribution
Social and human sciences,Human settlements and land use,Rented housing,
Education,Educational evaluation,Grade repetition,
Education,Teaching and training,Programmed instruction,"Programmed courses, Programmed learning, Programmed materials"
"Politics, law and economics",Personnel management,Occupational choice,"Career choice, Vocational choice"
Culture,Philosophy and ethics,Humanism,
"Politics, law and economics",Economics,Gross national product,
"Politics, law and economics",Economics,Economic planning,
"Politics, law and economics",Economics,Economic theory,
"Politics, law and economics",Finance and trade,Balance of payments,
Information and communication,Information sources,Yearbooks,
"Politics, law and economics",Economic and social development,Economic aid,
Science,Hydrology,Water resources management,Water resources development
Social and human sciences,Social problems,Alcoholism,
Social and human sciences,Human settlements and land use,Urban areas,"Cities, Towns"
Education,Educational management,Educational grants,"Educational awards, Educational vouchers, Student grants, Study grants"
Education,Basic and general study subjects,Art education,
Social and human sciences,Social problems,Unemployed,
"Politics, law and economics",Finance and trade,Financing,
Information and communication,Documentary information systems,Local government archives,Municipal archives
Science,Geography and oceanography,Plankton,"Marine bacteria, Marine microorganisms, Phytoplankton, Zooplankton"
Information and communication,Information technology (software),Library automation,"Computerized documentation, Computerized libraries"
Science,Hydrology,Freshwater,
Countries and country groupings,Africa,Congo DR,Democratic Republic of the Congo
Science,Natural resources,Marine ecosystems,
Culture,Linguistics,Grammar,
"Politics, law and economics",Manufacturing and transport engineering,Solar heating,
Science,Biology,Body temperature,
Information and communication,Information sciences,Controlled languages,
"Politics, law and economics",Organization and management,Learned societies,
"Politics, law and economics",Economics,Growth models,
"Politics, law and economics",Legal systems,Administrative tribunals,Judicial control of administration
Social and human sciences,Population,Childhood,
Information and communication,Information technology (software),Radio engineering,
Culture,Religion,Religious belief,Religious faith
Social and human sciences,Ethnic questions,Ethnic discrimination,"Racial discrimination, Racism"
Social and human sciences,Human settlements and land use,Historic cities,Ancient cities
Culture,Philosophy and ethics,Metaphysics,
Education,Educational policy,Democratization of education,
Countries and country groupings,Africa,Liberia,
Science,Biology,Biogenesis,
Science,Geography and oceanography,Oceans,
Science,Biology,Virology,Viral genetics
Science,Natural resources,Biomass energy,Bioenergy
Information and communication,Documentary information systems,Public archives,Public records
Countries and country groupings,Africa,Western Sahara,Spanish Sahara
"Politics, law and economics",Materials and products,Meat,
Culture,Languages,Sanskrit,
Culture,Cultural policy and planning,Cultural facilities,
"Politics, law and economics",Personnel management,Retirement,
Culture,Religion,Religious doctrines,Scriptures
Culture,Art,Icons,
"Politics, law and economics",Equipment and facilities,Scientific publications,
Information and communication,Information industry,TV/radio producers,
Science,Science and research management,Research strategies,
Countries and country groupings,Asia and the Pacific,Philippines,
Countries and country groupings,Europe,Italy,
Culture,Religion,Church,
Information and communication,Information industry,Television production,
Science,Chemical sciences,Chemical processes,Electrolysis
Information and communication,Information industry,Microphotography,"Microcopying, Micropublishing"
Culture,Cultural policy and planning,Cultural costs,Cultural expenditure
Countries and country groupings,Asia and the Pacific,Palau,
"Politics, law and economics",Equipment and facilities,Industrial robots,Robots
"Politics, law and economics",Politics and government,Government control,
"Politics, law and economics",Agriculture,Agricultural land,Arable land
"Politics, law and economics",Organization and management,Private enterprises,
Science,Chemical sciences,Experimental chemistry,Chemical experiments
"Politics, law and economics",Agriculture,Agricultural markets,
Information and communication,Information industry,Electronic publishing,"Computer assisted publishing, Desktop publishing"
Social and human sciences,Social systems,Group size,
Information and communication,Documentary information systems,Film archives,
Education,Educational facilities,Educational technology,
Information and communication,Information technology (software),Automatic translation,Machine translation
Science,Space sciences,Planets,
Science,Hydrology,Water vapour,
Culture,Philosophy and ethics,Knowledge,
Culture,Languages,Malay language,
Science,Meteorology,Cyclones,"Hurricanes, Tropical cyclones, Typhoons"
Culture,Museums,Agricultural museums,
Culture,Performing arts,National anthems,
Information and communication,Information technology (software),Character recognition,"OCR, Optical character recognition"
Science,Earth sciences,Carbonate rocks,
Science,"Pollution, disasters and safety",Dangerous materials,"Dangerous goods, Explosives, Harmful substances, Hazardous materials, Poisons, Toxic substances"
Science,Science and research management,Organization of research,Research coordination
Culture,Cultural policy and planning,Initiation rites,
"Politics, law and economics",Personnel management,Unskilled workers,
Culture,Religion,Parapsychology,"Psychotronics, Supernatural"
Culture,Languages,Lappic,
Education,Educational administration,Teaching profession,
Social and human sciences,Family,Mothers,
"Politics, law and economics",Legal systems,Law of the air,
"Politics, law and economics",Economic and social development,Multilateral aid,
Countries and country groupings,Americas and the Caribbean,Suriname,
Countries and country groupings,Europe,Gibraltar,
Information and communication,Information industry,Commercial television,
Culture,Leisure,UNESCO clubs,
Culture,Performing arts,Childrens films,
Information and communication,Information technology (software),Telematics,Teleinformatics
Science,Natural sciences,Animal nutrition,Animal feeding
"Politics, law and economics",Equipment and facilities,Ocean stations,
Education,Technical and vocational study subjects,Management education,Business education
"Politics, law and economics",Materials and products,Commodities,Primary products
Science,Space sciences,Astronomical systems,Celestial bodies
Information and communication,Documentary information processing,Bibliographic control,
"Politics, law and economics",Finance and trade,Money,
Education,Basic and general study subjects,Literature education,
"Politics, law and economics",International relations,International civil service,
Information and communication,Communication research and policy,Communication statistics,
Science,Chemical sciences,Gases,
Education,Educational policy,Educational opportunities,
Information and communication,Communication research and policy,Communication skills,
"Politics, law and economics",Equipment and facilities,Repair workshops,
"Politics, law and economics",Human rights,Social and economic rights,Economic and social rights
Culture,Languages,Malagasy,
Countries and country groupings,Africa,Tanzania UR,United Republic of Tanzania
Education,Technical and vocational study subjects,Vocational training subjects,
Culture,Culture,Cultural studies,
"Politics, law and economics",Manufacturing and transport engineering,Maintenance,"Maintenance engineering, Repair"
"Politics, law and economics",Materials and products,Sugar,"Cane sugar, Sugar cane"
Information and communication,Communication research and policy,Communication research,
Information and communication,Documentary information systems,Special libraries,
Science,Science and research management,Research trends,
Education,Educational institutions,Coeducational schools,
Information and communication,Communication research and policy,Communication ethics,Media ethics
Culture,Literature,Essays,
"Politics, law and economics",Industry,Dairy industry,
Science,Earth sciences,Soil sciences,Pedology
Education,Teaching and training,Seminars (teaching method),Student seminars
Culture,Cultural policy and planning,Cultural animation,
Information and communication,Communication research and policy,War propaganda,
Education,Educational population,Literacy workers,Literacy teachers
Science,Scientific approach,Testing,Tests
"Politics, law and economics",Equipment and facilities,Thermal power stations,
Culture,Philosophy and ethics,Traditional knowledge,"Indigenous knowledge, Local knowledge"
Information and communication,Documentary information systems,Film libraries,
Social and human sciences,Social problems,Youth unrest,
Information and communication,Information technology (hardware),Mobile phones,"Cell phones, Cellular phones, Cellphones, Smartphones"
Social and human sciences,Social sciences,Archaeologists,Archeologists
"Politics, law and economics",Economics,Interdependence,Economic interdependence
Information and communication,Information sciences,Cataloguing rules,Cataloging rules
Social and human sciences,Social problems,Torture,
Countries and country groupings,Asia and the Pacific,Pitcairn,
Countries and country groupings,Africa,Sao Tome and Principe,
"Politics, law and economics",Organization and management,Womens organizations,Womens associations
Science,Biology,Bacteriology,
Education,Educational management,School health services,
Science,Science and research management,Research foundations,
Information and communication,Information sources,Illustrations,Pictures
Countries and country groupings,Europe,Azerbaijan,
Culture,Cultural policy and planning,Museum curators,
Education,Teaching and training,School visits,"Educational visits, School excursions"
Information and communication,Information industry,Communication planners,
Culture,Performing arts,Jazz,
Information and communication,Information sciences,Terminological control,Vocabulary control
Culture,Literature,Science fiction,
Information and communication,Information management,Archive finding aids,"Archive inventories, Archive registers"
Science,Geography and oceanography,Economic geography,
Science,Science and research management,Environmentalists,
Social and human sciences,Human settlements and land use,Parks,"Public gardens, Urban parks"
Science,Natural sciences,Life sciences,
Education,Educational systems and levels,Day nurseries,"Daycare, Family daycare"
Social and human sciences,Social systems,Intergroup relations,
"Politics, law and economics",Labour,Youth employment,
Science,Geography and oceanography,Salinity,
Culture,Languages,Oriya,
"Politics, law and economics",Manufacturing and transport engineering,Heat storage,
Science,Medical sciences,Medical research,Biomedical research
"Politics, law and economics",Manufacturing and transport engineering,Electrical engineering,Electrotechnology
Social and human sciences,Family,Parents,
Science,Physical sciences,Magnetism,
Information and communication,Information technology (hardware),Computer printers,
Countries and country groupings,Africa,Mali,
Science,Physical sciences,Electrical properties,"Electrical conductivity, Superconductivity"
Culture,Languages,Slavic languages,
"Politics, law and economics",Politics and government,Liberalism,"Neo-liberalism, Neoliberalism"
Culture,Religion,Protestantism,
"Politics, law and economics",Economics,Economic analysis,
Countries and country groupings,Asia and the Pacific,Korea DPR,"Democratic People's Republic of Korea, North Korea"
Countries and country groupings,Asia and the Pacific,Korea,
Countries and country groupings,Europe,Russian SFSR,
Culture,Linguistics,Disappearing languages,"Endangered languages, Threatened languages"
Social and human sciences,Psychology,Reasoning,"Abstract reasoning, Deduction (reasoning), Induction (reasoning)"
"Politics, law and economics",Legal systems,Privileges and immunities,
Education,Educational evaluation,Dropping out,
Culture,Performing arts,Theatre,Dramatic arts
Social and human sciences,Social systems,Middle class,Bourgeoisie
"Politics, law and economics",Equipment and facilities,Nuclear power stations,
Information and communication,Communication research and policy,Technical writing,Report writing
Science,Earth sciences,Geology,
"Politics, law and economics",Human rights,Right to information,Freedom of information
Culture,Art,Modern art,
"Politics, law and economics",Materials and products,Calcium,
Culture,Linguistics,Abbreviations,
Culture,Languages,Dravidian languages,
Culture,Cultural policy and planning,Cultural organizations,"Cultural associations, Cultural foundations, Cultural institutions"
Information and communication,Information technology (hardware),Computer storage devices,"Computer memories, Storage devices"
Education,Educational facilities,Curriculum study centres,
Culture,Culture,African cultures,
Education,Educational sciences and environment,Student sociology,Student life
"Politics, law and economics",Organization and management,Decision theory,Statistical decision
Science,Medical sciences,Traditional medicine,"Ethnomedicine, Folk medicine"
Education,Technical and vocational study subjects,Cultural personnel training,
Education,Technical and vocational study subjects,Vocational education,Professional education
Information and communication,Information technology (software),Online systems,"Interactive online systems, Realtime systems"
Countries and country groupings,Asia and the Pacific,Fiji,
Social and human sciences,Psychology,Cognition,Cognitive processes
Countries and country groupings,Africa,South Sudan,
"Politics, law and economics",Equipment and facilities,Research laboratories,
Science,Pathology,Leprosy,
Culture,Linguistics,Transliteration,
"Politics, law and economics",Organization and management,Agricultural cooperatives,
Information and communication,Information sources,Databases,Databanks
Social and human sciences,Psychology,Intuition,
"Politics, law and economics",Materials and products,Mercury,
Science,"Pollution, disasters and safety",Soil degradation,
Science,Biology,Hearing,Ears
"Politics, law and economics",Labour,Child labour,"Child employment, Child workers"
Science,Earth sciences,Mineral deposits,Ore deposits
Culture,Languages,Luba-Katanga,"Kiluba, Luba-Shaba"
Science,Space sciences,Solar activity,"Solar disturbances, Sunspots"
Education,Educational sciences and environment,Adolescent psychology,
Culture,Cultural policy and planning,Economics of culture,Cultural economics
"Politics, law and economics",Economics,Common markets,
"Politics, law and economics",Politics and government,Colonialism,
Countries and country groupings,Europe,Norway,
"Politics, law and economics",International relations,Foreign policy,
Information and communication,Documentary information processing,International circulation of materials,
Education,Educational systems and levels,Out of school education,Parallel schooling
"Politics, law and economics",Politics and government,Political doctrines,Political ideologies
Science,Physical sciences,Wave mechanics,
"Politics, law and economics",Finance and trade,Budget contributions,"Fundraising, Pledges, Voluntary contributions"
Education,Teaching and training,Visual learning,
"Politics, law and economics",International relations,Global commons,
"Politics, law and economics",Personnel management,Fringe benefits,
Culture,Languages,Caucasian languages,
Science,Physical sciences,Molecular physics,
Social and human sciences,Social systems,Social environment,
Science,Environmental sciences and engineering,Terrestrial environment,
Culture,Performing arts,Historical films,
"Politics, law and economics",Materials and products,Tobacco,
Information and communication,Information technology (hardware),Film cameras,
Science,Pathology,Speech disorders,Speech pathology
Science,Medical sciences,Veterinary medicine,
Culture,Literature,Book reviews,
"Politics, law and economics","Civil, military and mining engineering",Structural elements (buildings),"Roofs, Walls, Windows"
Education,Teaching and training,Multimedia instruction,Media assisted education
"Politics, law and economics",Services,Transport policy,
"Politics, law and economics",Equipment and facilities,Missiles,Ballistic missiles
Countries and country groupings,Americas and the Caribbean,Cayman Islands,
Culture,Culture,Working class cultures,
Culture,Culture,Slav cultures,
Culture,Linguistics,Ancient scripts,"Hieroglyphics, Ideographic scripts, Pictographic scripts"
"Politics, law and economics",Legal systems,Copyright,Rights of authors
"Politics, law and economics",Services,Transport economics,
Social and human sciences,Psychology,Mind,Mentality
"Politics, law and economics",Materials and products,Nuclear fuels,
Culture,Languages,Sindhi,
Education,Educational management,Scholarships,
"Politics, law and economics",Services,Air traffic,
Science,Hydrology,Hydrological data,
Education,Basic and general study subjects,Drama education,
Education,Educational evaluation,Educational relevance,Curriculum relevance
"Politics, law and economics",Agriculture,Forests,
Information and communication,Information sources,Inventories,Checklists
"Politics, law and economics",Human rights,Rights of prisoners,
"Politics, law and economics",Politics and government,Public administration,
Culture,Linguistics,Creoles,Pidgins
Culture,Languages,Indo-european languages,
Social and human sciences,Ethnic questions,Racism (doctrine),
"Politics, law and economics",Finance and trade,Debt relief,"Debt for equity swap, Debt for nature swap, Debt refinancing, Debt renegotiation, Debt reorganization, Debt rescheduling"
Education,Educational systems and levels,Home education,Home instruction
Education,Basic and general study subjects,Movement education,Dance education
Science,Natural sciences,Termites,
Information and communication,Information technology (hardware),Magnetic discs,"Diskettes, Floppy disks"
Science,Geography and oceanography,Desert science,Arid zone research
Countries and country groupings,Asia and the Pacific,Singapore,
Science,Mathematics and statistics,Combinatorial mathematics,
Information and communication,Information technology (hardware),TV/radio equipment,"Radio receivers, Radio transmitters, Television cameras, Television receivers, Television transmitters"
"Politics, law and economics",Politics and government,Parliamentary systems,
Culture,Religion,Brahmanism,
Culture,Languages,Thai,
Countries and country groupings,Africa,Morocco,
Countries and country groupings,Americas and the Caribbean,Sint Maarten,Sint Maarten (Dutch part)
Information and communication,Communication research and policy,Press advertising,Newspaper advertising
Countries and country groupings,Europe,Kirghiz SSR,
Education,Educational management,Student welfare,Educational welfare
Social and human sciences,Social policy and welfare,Social reform,
Science,Mathematics and statistics,Interpolation,
Science,Physical sciences,Atomic structure,
Science,Meteorology,Weather,
Culture,Literature,National literatures,
"Politics, law and economics",Organization and management,Organizational change,
"Politics, law and economics",Agriculture,Agricultural chemistry,
"Politics, law and economics",Equipment and facilities,Machines,Machinery
Science,Earth sciences,Petrology,"Lithology, Petrography"
"Politics, law and economics",Labour,Strikes,
Culture,Art,Latin American art,
"Politics, law and economics",Personnel management,Wages,"Salaries, Wage determination"
"Politics, law and economics",Labour,Division of labour,
Science,Geography and oceanography,Black Sea,
Information and communication,Information sources,Secondary documents,
Social and human sciences,Social systems,Social mobility,Social promotion
Science,Scientific approach,Survey analysis,Survey data
Education,Educational systems and levels,General education,General studies
Culture,Literature,Latin American literature,
Culture,Religion,Mosques,
Culture,Cultural policy and planning,Oral tradition,
Countries and country groupings,Europe,Azerbaijan SSR,
Education,Basic and general study subjects,Food preparation,Cookery
"Politics, law and economics","Civil, military and mining engineering",Air warfare,
Social and human sciences,Human settlements and land use,Squatter settlements,
Culture,Art,Chinese art,
Countries and country groupings,Asia and the Pacific,Bahrain,
Education,Basic and general study subjects,Philosophy education,
Culture,Languages,Ukrainian,
Science,Natural sciences,Fungi,"Mould, Mushrooms, Mycology"
Education,Educational evaluation,Academic failure,
"Politics, law and economics",Legal systems,Artistic property,
"Politics, law and economics","Civil, military and mining engineering",Geological surveying,
"Politics, law and economics",Finance and trade,Exchange rates,
Education,Educational administration,Teacher role,Teacher influence
Culture,Art,Primitive art,Native art
Information and communication,Documentary information systems,Information services,"Documentation centres, Information analysis centres, Information centres, Information units, Referral services"
Culture,Museums,Museum educational programmes,Educational function of museums
Culture,Linguistics,Language change,
Information and communication,Communication research and policy,Persuasion,
Social and human sciences,Social policy and welfare,Health services,"Community health services, Health care, Medical services, Social medicine"
Information and communication,Information technology (software),Office automation,
"Politics, law and economics",Politics and government,Nationalism,
"Politics, law and economics",Agriculture,Land tenure,Land distribution
Culture,Culture,Mayas,
"Politics, law and economics",Legal systems,Legal status,
Information and communication,Information industry,Televiewers,Viewers
Countries and country groupings,Africa,Botswana,
Science,Mathematics and statistics,Graph theory,
Science,Hydrology,Brackish water,Stagnant water
"Politics, law and economics",Personnel management,Work organization,
Science,Natural resources,Steam power,
Information and communication,Information sources,Style manuals,
Information and communication,Information industry,Radio stations,Radio studios
Information and communication,Communication research and policy,Group discussions,
"Politics, law and economics",Legal systems,Constitutions,
Information and communication,Information sciences,Electronic media,
Culture,Culture,Cultural interaction,"Cultural contact, Cultural influence"
Education,Educational policy,Free education,
Science,Medical sciences,Epidemiology,
Information and communication,Documentary information processing,Information retrieval,"Bibliographic searches, Literature searches, Retrospective searches"
Countries and country groupings,Linguistic groupings,Latin America,
Science,Physical sciences,Physics,Physical sciences
Culture,Performing arts,Musicology,Musical theory
Culture,Art,North American art,
Culture,Literature,Playwrights,
"Politics, law and economics",Economics,Informal sector,"Black economy, Informal economy, Unofficial economy"
Countries and country groupings,Africa,Djibouti,Afars and Issas
Science,"Pollution, disasters and safety",Environmental degradation,"Environmental changes, Environmental deterioration"
Education,Educational population,Undergraduates,
Education,Educational evaluation,Student evaluation,"Educational assessment, Educational rating, Student appraisal, Talent identification"
Culture,Leisure,Indoor games,
"Politics, law and economics",Legal systems,Territorial rights,
Science,Natural sciences,Prehistoric man,
Education,Educational policy,Educational innovations,
Social and human sciences,Social sciences,Political scientists,
Science,Chemical sciences,Chemical research,
Science,Environmental sciences and engineering,Sanitation,"Sanitary engineering, Sanitary services"
Science,Science and research management,Research results,
"Politics, law and economics",Agriculture,Agricultural statistics,
Education,Educational planning,Economics of education,
Science,Geography and oceanography,Deserts,
"Politics, law and economics",Finance and trade,Foreign exchange,
Culture,Leisure,Playgrounds,Playing fields
"Politics, law and economics",Equipment and facilities,Printing workshops,
Culture,Linguistics,Interpreting,
Education,Educational sciences and environment,Educational psychosociology,
Culture,Art,Art styles,
"Politics, law and economics",Finance and trade,Financial administration,Financial management
Culture,Leisure,Leisure time activities,
"Politics, law and economics","Civil, military and mining engineering",Road engineering,
Information and communication,Information technology (software),Office services,"Secretarial work, Typing"
Science,Science and research management,Mission oriented research,Problem focused research
Science,Meteorology,Winds,
Science,Meteorology,Climatic data,
Information and communication,Information technology (software),Computer software,"Application software, Basic software, Computer programs, Operating systems, Software packages"
"Politics, law and economics",Politics and government,Political corruption,
Science,Earth sciences,Stratigraphy,Historical geology
Science,Biology,Space biology,Astrobiology
Information and communication,Information industry,Postal services,"Mail services, Postage stamps, Postal communications"
Information and communication,Information technology (software),Archive automation,Machine readable archives
Science,Meteorology,Rain,Rainfall
Information and communication,Communication research and policy,Mass communication,
Information and communication,Documentary information processing,Indexing,"Concept analysis, Subject indexing"
Culture,Leisure,Tourist facilities,Tourist equipment
Social and human sciences,Social systems,Social behaviour,
Culture,Visual arts,Palaces,
Education,Educational sciences and environment,Teacher participation,
Culture,Languages,Kazakh,
Social and human sciences,Social systems,Social factors,
Countries and country groupings,Europe,Croatia,
Education,Educational sciences and environment,Student behaviour,
Social and human sciences,Social problems,Deaf,Hearing impaired
Culture,Languages,Sinhala,
Science,Science and research management,Mechanization,
Social and human sciences,Social systems,Groups,
"Politics, law and economics",Economics,Financial statistics,
Culture,Culture,Cultural minorities,Minority cultures
Information and communication,Communication research and policy,Audience participation,
Information and communication,Documentary information systems,Sound archives,Record archives
Science,Natural resources,Coal resources,
Culture,Leisure,Ecotourism,"Ecological tourism, Green tourism, Sustainable tourism"
"Politics, law and economics",Economics,Socio-economic analysis,
Countries and country groupings,Africa,Africa,
Countries and country groupings,Europe,Europe,
Countries and country groupings,Asia and the Pacific,Asia and the Pacific,Pacific region
Information and communication,Information sources,Drawings,
"Politics, law and economics",Economics,Private sector,
Culture,Visual arts,Murals,"Frescoes, Wall paintings"
Culture,Religion,Voodoo,
Science,Space sciences,Satellites,
"Politics, law and economics",Materials and products,Pesticides,Insecticides
Science,Medical sciences,Pharmacists,
"Politics, law and economics",Politics and government,Guerrilla activities,Guerrilla
Culture,Literature,Legends,
"Politics, law and economics",Industry,Industrial planning,
Education,Educational management,Academic year,Educational year
Education,Educational policy,Educational development,Advancement of education
Social and human sciences,Psychology,Creativity,
Culture,Leisure,Athletes,Sportsmen
Science,Physical sciences,Optics,
Information and communication,Information technology (software),Telecommunications,
Culture,Philosophy and ethics,Idealism,
Science,"Pollution, disasters and safety",Eutrophication,
Science,Chemical sciences,Organic matter,
Science,Mathematics and statistics,Set theory,
Science,Geography and oceanography,Ocean circulation,
"Politics, law and economics",Politics and government,Political theory,
Education,Curriculum,Orientation courses,
Social and human sciences,Social systems,Youth movements,
Information and communication,Documentary information systems,Agricultural libraries,
"Politics, law and economics",Manufacturing and transport engineering,Glass technology,
"Politics, law and economics",Politics and government,Elections,Voting
Social and human sciences,Human settlements and land use,Housing policy,
Culture,Cultural policy and planning,Fashion,Costumes
Information and communication,Documentary information processing,Information dissemination,
Science,Geography and oceanography,Indian Ocean,
Education,Basic and general study subjects,Humanities education,Humanities
Social and human sciences,Social sciences,Social psychology,Psychosociology
Science,Chemical sciences,Chemical kinetics,
"Politics, law and economics",Politics and government,Political parties,
Education,Educational institutions,Special schools,Special education centres
"Politics, law and economics",Equipment and facilities,Railway stations,
Information and communication,Communication research and policy,Access to information,"Accessibility of information, Availability of information, Communication barriers, Information barriers"
Culture,Languages,Tajik,"Tadjik, Tajiki"
Countries and country groupings,Europe,Georgian SSR,
"Politics, law and economics",Services,Traffic,
Education,Technical and vocational study subjects,Veterinary education,
Science,Environmental sciences and engineering,Sewers,
"Politics, law and economics",Economic and social development,Integrated development,
Countries and country groupings,Asia and the Pacific,Mongolia,
Science,Space sciences,Quasars,
Culture,Art,Actors,Film actors
Culture,Languages,Hamitic languages,
Countries and country groupings,Africa,Zambia,
"Politics, law and economics",Economics,Dependence,"Dependency theory, Economic dependence"
Education,Educational administration,Teacher responsibility,Teacher professional ethics
Science,"Pollution, disasters and safety",Earthquake prediction,Seismic monitoring
