category,label
"Politics, law and economics/Human rights",Concentration camps
"Politics, law and economics/Civil, military and mining engineering",Warfare
Information and communication/Information industry,Broadcasting programmes
Countries and country groupings/Americas and the Caribbean,Americas
Education/Educational systems and levels,Lifelong education
Education/Educational sciences and environment,Comparative education
"Politics, law and economics/Politics and government",World government
Education/Educational planning,Teacher supply
Science/Meteorology,Atmospheric pressure
Education/Basic and general study subjects,Statistics education
Social and human sciences/Social problems,Drug traffic
Culture/Art,Composers
"Politics, law and economics/Economics",Economic cooperation
Science/Geography and oceanography,Oceanographic research
"Politics, law and economics/Materials and products",Clays
Countries and country groupings/Europe,Germany FR
Education/Educational management,School leaving
Science/Natural sciences,Plants
Culture/Cultural policy and planning,Cultural participation
"Politics, law and economics/Legal systems",Theft protection
Information and communication/Information management,Library use promotion
"Politics, law and economics/Equipment and facilities",Seismometers
Culture/Performing arts,Orchestras
Science/Geography and oceanography,Land forms
"Politics, law and economics/Manufacturing and transport engineering",Microelectronics
Science/Geography and oceanography,Grasslands
Information and communication/Communication research and policy,Information theory
Science/Science and research management,Appropriate technology
Culture/Languages,Maldivian
Culture/Languages,Awadhi
Education/Educational administration,Teacher qualifications
"Politics, law and economics/Industry",Pharmaceutical industry
Information and communication/Information sources,Childrens books
Culture/Linguistics,Acronyms
Science/Geography and oceanography,Bathymetric charts
Social and human sciences/Social problems,Gender discrimination
Information and communication/Information sources,Indexes
Science/Space sciences,Celestial mechanics
"Politics, law and economics/Materials and products",Gas fuels
Countries and country groupings/Europe,Central and Eastern Europe
Science/Natural sciences,Marine algae
"Politics, law and economics/Economics",Planned economy
Culture/Languages,African languages
Science/Geography and oceanography,Pacific Ocean
"Politics, law and economics/Economics",Input output analysis
"Politics, law and economics/Industry",Business economics
Education/Educational facilities,Educational video
Science/Earth sciences,Quaternary
"Politics, law and economics/Labour",Gender division of labour
Information and communication/Communication research and policy,Book costs
Education/Educational administration,Educational associations
Social and human sciences/Social systems,Social adaptation
Education/Educational facilities,Lesson plans
"Politics, law and economics/Economics",Socio-economic indicators
"Politics, law and economics/Politics and government",Pluralism
"Science/Pollution, disasters and safety",Acid rain
Social and human sciences/Population,Foreigners
Science/Scientific approach,Benchmarking
"Politics, law and economics/Personnel management",Managerial characteristics
Science/Scientific approach,Observation
Science/Natural sciences,Zoogeography
Social and human sciences/Human settlements and land use,Rented housing
Education/Educational evaluation,Grade repetition
Education/Teaching and training,Programmed instruction
"Politics, law and economics/Personnel management",Occupational choice
Culture/Philosophy and ethics,Humanism
"Politics, law and economics/Economics",Gross national product
"Politics, law and economics/Economics",Economic planning
"Politics, law and economics/Economics",Economic theory
"Politics, law and economics/Finance and trade",Balance of payments
Information and communication/Information sources,Yearbooks
"Politics, law and economics/Economic and social development",Economic aid
Science/Hydrology,Water resources management
Social and human sciences/Social problems,Alcoholism
Social and human sciences/Human settlements and land use,Urban areas
Education/Educational management,Educational grants
Education/Basic and general study subjects,Art education
Social and human sciences/Social problems,Unemployed
"Politics, law and economics/Finance and trade",Financing
Information and communication/Documentary information systems,Local government archives
Science/Geography and oceanography,Plankton
Information and communication/Information technology (software),Library automation
Science/Hydrology,Freshwater
Countries and country groupings/Africa,Congo DR
Science/Natural resources,Marine ecosystems
Culture/Linguistics,Grammar
"Politics, law and economics/Manufacturing and transport engineering",Solar heating
Science/Biology,Body temperature
Information and communication/Information sciences,Controlled languages
"Politics, law and economics/Organization and management",Learned societies
"Politics, law and economics/Economics",Growth models
"Politics, law and economics/Legal systems",Administrative tribunals
Social and human sciences/Population,Childhood
Information and communication/Information technology (software),Radio engineering
Culture/Religion,Religious belief
Social and human sciences/Ethnic questions,Ethnic discrimination
Social and human sciences/Human settlements and land use,Historic cities
Culture/Philosophy and ethics,Metaphysics
Education/Educational policy,Democratization of education
Countries and country groupings/Africa,Liberia
Science/Biology,Biogenesis
Science/Geography and oceanography,Oceans
Science/Biology,Virology
Science/Natural resources,Biomass energy
Information and communication/Documentary information systems,Public archives
Countries and country groupings/Africa,Western Sahara
"Politics, law and economics/Materials and products",Meat
Culture/Languages,Sanskrit
Culture/Cultural policy and planning,Cultural facilities
"Politics, law and economics/Personnel management",Retirement
Culture/Religion,Religious doctrines
Culture/Art,Icons
"Politics, law and economics/Equipment and facilities",Scientific publications
Information and communication/Information industry,TV/radio producers
Science/Science and research management,Research strategies
Countries and country groupings/Asia and the Pacific,Philippines
Countries and country groupings/Europe,Italy
Culture/Religion,Church
Information and communication/Information industry,Television production
Science/Chemical sciences,Chemical processes
Information and communication/Information industry,Microphotography
Culture/Cultural policy and planning,Cultural costs
Countries and country groupings/Asia and the Pacific,Palau
"Politics, law and economics/Equipment and facilities",Industrial robots
"Politics, law and economics/Politics and government",Government control
"Politics, law and economics/Agriculture",Agricultural land
"Politics, law and economics/Organization and management",Private enterprises
Science/Chemical sciences,Experimental chemistry
"Politics, law and economics/Agriculture",Agricultural markets
Information and communication/Information industry,Electronic publishing
Social and human sciences/Social systems,Group size
Information and communication/Documentary information systems,Film archives
Education/Educational facilities,Educational technology
Information and communication/Information technology (software),Automatic translation
Science/Space sciences,Planets
Science/Hydrology,Water vapour
Culture/Philosophy and ethics,Knowledge
Culture/Languages,Malay language
Science/Meteorology,Cyclones
Culture/Museums,Agricultural museums
Culture/Performing arts,National anthems
Information and communication/Information technology (software),Character recognition
Science/Earth sciences,Carbonate rocks
"Science/Pollution, disasters and safety",Dangerous materials
Science/Science and research management,Organization of research
Culture/Cultural policy and planning,Initiation rites
"Politics, law and economics/Personnel management",Unskilled workers
Culture/Religion,Parapsychology
Culture/Languages,Lappic
Education/Educational administration,Teaching profession
Social and human sciences/Family,Mothers
"Politics, law and economics/Legal systems",Law of the air
"Politics, law and economics/Economic and social development",Multilateral aid
Countries and country groupings/Americas and the Caribbean,Suriname
Countries and country groupings/Europe,Gibraltar
Information and communication/Information industry,Commercial television
Culture/Leisure,UNESCO clubs
Culture/Performing arts,Childrens films
Information and communication/Information technology (software),Telematics
Science/Natural sciences,Animal nutrition
"Politics, law and economics/Equipment and facilities",Ocean stations
Education/Technical and vocational study subjects,Management education
"Politics, law and economics/Materials and products",Commodities
Science/Space sciences,Astronomical systems
Information and communication/Documentary information processing,Bibliographic control
"Politics, law and economics/Finance and trade",Money
Education/Basic and general study subjects,Literature education
"Politics, law and economics/International relations",International civil service
Information and communication/Communication research and policy,Communication statistics
Science/Chemical sciences,Gases
Education/Educational policy,Educational opportunities
Information and communication/Communication research and policy,Communication skills
"Politics, law and economics/Equipment and facilities",Repair workshops
"Politics, law and economics/Human rights",Social and economic rights
Culture/Languages,Malagasy
Countries and country groupings/Africa,Tanzania UR
Education/Technical and vocational study subjects,Vocational training subjects
Culture/Culture,Cultural studies
"Politics, law and economics/Manufacturing and transport engineering",Maintenance
"Politics, law and economics/Materials and products",Sugar
Information and communication/Communication research and policy,Communication research
Information and communication/Documentary information systems,Special libraries
Science/Science and research management,Research trends
Education/Educational institutions,Coeducational schools
Information and communication/Communication research and policy,Communication ethics
Culture/Literature,Essays
"Politics, law and economics/Industry",Dairy industry
Science/Earth sciences,Soil sciences
Education/Teaching and training,Seminars (teaching method)
Culture/Cultural policy and planning,Cultural animation
Information and communication/Communication research and policy,War propaganda
Education/Educational population,Literacy workers
Science/Scientific approach,Testing
"Politics, law and economics/Equipment and facilities",Thermal power stations
Culture/Philosophy and ethics,Traditional knowledge
Information and communication/Documentary information systems,Film libraries
Social and human sciences/Social problems,Youth unrest
Information and communication/Information technology (hardware),Mobile phones
Social and human sciences/Social sciences,Archaeologists
"Politics, law and economics/Economics",Interdependence
Information and communication/Information sciences,Cataloguing rules
Social and human sciences/Social problems,Torture
Countries and country groupings/Asia and the Pacific,Pitcairn
Countries and country groupings/Africa,Sao Tome and Principe
"Politics, law and economics/Organization and management",Womens organizations
Science/Biology,Bacteriology
Education/Educational management,School health services
Science/Science and research management,Research foundations
Information and communication/Information sources,Illustrations
Countries and country groupings/Europe,Azerbaijan
Culture/Cultural policy and planning,Museum curators
Education/Teaching and training,School visits
Information and communication/Information industry,Communication planners
Culture/Performing arts,Jazz
Information and communication/Information sciences,Terminological control
Culture/Literature,Science fiction
Information and communication/Information management,Archive finding aids
Science/Geography and oceanography,Economic geography
Science/Science and research management,Environmentalists
Social and human sciences/Human settlements and land use,Parks
Science/Natural sciences,Life sciences
Education/Educational systems and levels,Day nurseries
Social and human sciences/Social systems,Intergroup relations
"Politics, law and economics/Labour",Youth employment
Science/Geography and oceanography,Salinity
Culture/Languages,Oriya
"Politics, law and economics/Manufacturing and transport engineering",Heat storage
Science/Medical sciences,Medical research
"Politics, law and economics/Manufacturing and transport engineering",Electrical engineering
Social and human sciences/Family,Parents
Science/Physical sciences,Magnetism
Information and communication/Information technology (hardware),Computer printers
Countries and country groupings/Africa,Mali
Science/Physical sciences,Electrical properties
Culture/Languages,Slavic languages
"Politics, law and economics/Politics and government",Liberalism
Culture/Religion,Protestantism
"Politics, law and economics/Economics",Economic analysis
Countries and country groupings/Asia and the Pacific,Korea DPR
Countries and country groupings/Asia and the Pacific,Korea
Countries and country groupings/Europe,Russian SFSR
Culture/Linguistics,Disappearing languages
Social and human sciences/Psychology,Reasoning
"Politics, law and economics/Legal systems",Privileges and immunities
Education/Educational evaluation,Dropping out
Culture/Performing arts,Theatre
Social and human sciences/Social systems,Middle class
"Politics, law and economics/Equipment and facilities",Nuclear power stations
Information and communication/Communication research and policy,Technical writing
Science/Earth sciences,Geology
"Politics, law and economics/Human rights",Right to information
Culture/Art,Modern art
"Politics, law and economics/Materials and products",Calcium
Culture/Linguistics,Abbreviations
Culture/Languages,Dravidian languages
Culture/Cultural policy and planning,Cultural organizations
Information and communication/Information technology (hardware),Computer storage devices
Education/Educational facilities,Curriculum study centres
Culture/Culture,African cultures
Education/Educational sciences and environment,Student sociology
"Politics, law and economics/Organization and management",Decision theory
Science/Medical sciences,Traditional medicine
Education/Technical and vocational study subjects,Cultural personnel training
Education/Technical and vocational study subjects,Vocational education
Information and communication/Information technology (software),Online systems
Countries and country groupings/Asia and the Pacific,Fiji
Social and human sciences/Psychology,Cognition
Countries and country groupings/Africa,South Sudan
"Politics, law and economics/Equipment and facilities",Research laboratories
Science/Pathology,Leprosy
Culture/Linguistics,Transliteration
"Politics, law and economics/Organization and management",Agricultural cooperatives
Information and communication/Information sources,Databases
Social and human sciences/Psychology,Intuition
"Politics, law and economics/Materials and products",Mercury
"Science/Pollution, disasters and safety",Soil degradation
Science/Biology,Hearing
"Politics, law and economics/Labour",Child labour
Science/Earth sciences,Mineral deposits
Culture/Languages,Luba-Katanga
Science/Space sciences,Solar activity
Education/Educational sciences and environment,Adolescent psychology
Culture/Cultural policy and planning,Economics of culture
"Politics, law and economics/Economics",Common markets
"Politics, law and economics/Politics and government",Colonialism
Countries and country groupings/Europe,Norway
"Politics, law and economics/International relations",Foreign policy
Information and communication/Documentary information processing,International circulation of materials
Education/Educational systems and levels,Out of school education
"Politics, law and economics/Politics and government",Political doctrines
Science/Physical sciences,Wave mechanics
"Politics, law and economics/Finance and trade",Budget contributions
Education/Teaching and training,Visual learning
"Politics, law and economics/International relations",Global commons
"Politics, law and economics/Personnel management",Fringe benefits
Culture/Languages,Caucasian languages
Science/Physical sciences,Molecular physics
Social and human sciences/Social systems,Social environment
Science/Environmental sciences and engineering,Terrestrial environment
Culture/Performing arts,Historical films
"Politics, law and economics/Materials and products",Tobacco
Information and communication/Information technology (hardware),Film cameras
Science/Pathology,Speech disorders
Science/Medical sciences,Veterinary medicine
Culture/Literature,Book reviews
"Politics, law and economics/Civil, military and mining engineering",Structural elements (buildings)
Education/Teaching and training,Multimedia instruction
"Politics, law and economics/Services",Transport policy
"Politics, law and economics/Equipment and facilities",Missiles
Countries and country groupings/Americas and the Caribbean,Cayman Islands
Culture/Culture,Working class cultures
Culture/Culture,Slav cultures
Culture/Linguistics,Ancient scripts
"Politics, law and economics/Legal systems",Copyright
"Politics, law and economics/Services",Transport economics
Social and human sciences/Psychology,Mind
"Politics, law and economics/Materials and products",Nuclear fuels
Culture/Languages,Sindhi
Education/Educational management,Scholarships
"Politics, law and economics/Services",Air traffic
Science/Hydrology,Hydrological data
Education/Basic and general study subjects,Drama education
Education/Educational evaluation,Educational relevance
"Politics, law and economics/Agriculture",Forests
Information and communication/Information sources,Inventories
"Politics, law and economics/Human rights",Rights of prisoners
"Politics, law and economics/Politics and government",Public administration
Culture/Linguistics,Creoles
Culture/Languages,Indo-european languages
Social and human sciences/Ethnic questions,Racism (doctrine)
"Politics, law and economics/Finance and trade",Debt relief
Education/Educational systems and levels,Home education
Education/Basic and general study subjects,Movement education
Science/Natural sciences,Termites
Information and communication/Information technology (hardware),Magnetic discs
Science/Geography and oceanography,Desert science
Countries and country groupings/Asia and the Pacific,Singapore
Science/Mathematics and statistics,Combinatorial mathematics
Information and communication/Information technology (hardware),TV/radio equipment
"Politics, law and economics/Politics and government",Parliamentary systems
Culture/Religion,Brahmanism
Culture/Languages,Thai
Countries and country groupings/Africa,Morocco
Countries and country groupings/Americas and the Caribbean,Sint Maarten
Information and communication/Communication research and policy,Press advertising
Countries and country groupings/Europe,Kirghiz SSR
Education/Educational management,Student welfare
Social and human sciences/Social policy and welfare,Social reform
Science/Mathematics and statistics,Interpolation
Science/Physical sciences,Atomic structure
Science/Meteorology,Weather
Culture/Literature,National literatures
"Politics, law and economics/Organization and management",Organizational change
"Politics, law and economics/Agriculture",Agricultural chemistry
"Politics, law and economics/Equipment and facilities",Machines
Science/Earth sciences,Petrology
"Politics, law and economics/Labour",Strikes
Culture/Art,Latin American art
"Politics, law and economics/Personnel management",Wages
"Politics, law and economics/Labour",Division of labour
Science/Geography and oceanography,Black Sea
Information and communication/Information sources,Secondary documents
Social and human sciences/Social systems,Social mobility
Science/Scientific approach,Survey analysis
Education/Educational systems and levels,General education
Culture/Literature,Latin American literature
Culture/Religion,Mosques
Culture/Cultural policy and planning,Oral tradition
Countries and country groupings/Europe,Azerbaijan SSR
Education/Basic and general study subjects,Food preparation
"Politics, law and economics/Civil, military and mining engineering",Air warfare
Social and human sciences/Human settlements and land use,Squatter settlements
Culture/Art,Chinese art
Countries and country groupings/Asia and the Pacific,Bahrain
Education/Basic and general study subjects,Philosophy education
Culture/Languages,Ukrainian
Science/Natural sciences,Fungi
Education/Educational evaluation,Academic failure
"Politics, law and economics/Legal systems",Artistic property
"Politics, law and economics/Civil, military and mining engineering",Geological surveying
"Politics, law and economics/Finance and trade",Exchange rates
Education/Educational administration,Teacher role
Culture/Art,Primitive art
Information and communication/Documentary information systems,Information services
Culture/Museums,Museum educational programmes
Culture/Linguistics,Language change
Information and communication/Communication research and policy,Persuasion
Social and human sciences/Social policy and welfare,Health services
Information and communication/Information technology (software),Office automation
"Politics, law and economics/Politics and government",Nationalism
"Politics, law and economics/Agriculture",Land tenure
Culture/Culture,Mayas
"Politics, law and economics/Legal systems",Legal status
Information and communication/Information industry,Televiewers
Countries and country groupings/Africa,Botswana
Science/Mathematics and statistics,Graph theory
Science/Hydrology,Brackish water
"Politics, law and economics/Personnel management",Work organization
Science/Natural resources,Steam power
Information and communication/Information sources,Style manuals
Information and communication/Information industry,Radio stations
Information and communication/Communication research and policy,Group discussions
"Politics, law and economics/Legal systems",Constitutions
Information and communication/Information sciences,Electronic media
Culture/Culture,Cultural interaction
Education/Educational policy,Free education
Science/Medical sciences,Epidemiology
Information and communication/Documentary information processing,Information retrieval
Countries and country groupings/Linguistic groupings,Latin America
Science/Physical sciences,Physics
Culture/Performing arts,Musicology
Culture/Art,North American art
Culture/Literature,Playwrights
"Politics, law and economics/Economics",Informal sector
Countries and country groupings/Africa,Djibouti
"Science/Pollution, disasters and safety",Environmental degradation
Education/Educational population,Undergraduates
Education/Educational evaluation,Student evaluation
Culture/Leisure,Indoor games
"Politics, law and economics/Legal systems",Territorial rights
Science/Natural sciences,Prehistoric man
Education/Educational policy,Educational innovations
Social and human sciences/Social sciences,Political scientists
Science/Chemical sciences,Chemical research
Science/Environmental sciences and engineering,Sanitation
Science/Science and research management,Research results
"Politics, law and economics/Agriculture",Agricultural statistics
Education/Educational planning,Economics of education
Science/Geography and oceanography,Deserts
"Politics, law and economics/Finance and trade",Foreign exchange
Culture/Leisure,Playgrounds
"Politics, law and economics/Equipment and facilities",Printing workshops
Culture/Linguistics,Interpreting
Education/Educational sciences and environment,Educational psychosociology
Culture/Art,Art styles
"Politics, law and economics/Finance and trade",Financial administration
Culture/Leisure,Leisure time activities
"Politics, law and economics/Civil, military and mining engineering",Road engineering
Information and communication/Information technology (software),Office services
Science/Science and research management,Mission oriented research
Science/Meteorology,Winds
Science/Meteorology,Climatic data
Information and communication/Information technology (software),Computer software
"Politics, law and economics/Politics and government",Political corruption
Science/Earth sciences,Stratigraphy
Science/Biology,Space biology
Information and communication/Information industry,Postal services
Information and communication/Information technology (software),Archive automation
Science/Meteorology,Rain
Information and communication/Communication research and policy,Mass communication
Information and communication/Documentary information processing,Indexing
Culture/Leisure,Tourist facilities
Social and human sciences/Social systems,Social behaviour
Culture/Visual arts,Palaces
Education/Educational sciences and environment,Teacher participation
Culture/Languages,Kazakh
Social and human sciences/Social systems,Social factors
Countries and country groupings/Europe,Croatia
Education/Educational sciences and environment,Student behaviour
Social and human sciences/Social problems,Deaf
Culture/Languages,Sinhala
Science/Science and research management,Mechanization
Social and human sciences/Social systems,Groups
"Politics, law and economics/Economics",Financial statistics
Culture/Culture,Cultural minorities
Information and communication/Communication research and policy,Audience participation
Information and communication/Documentary information systems,Sound archives
Science/Natural resources,Coal resources
Culture/Leisure,Ecotourism
"Politics, law and economics/Economics",Socio-economic analysis
Countries and country groupings/Africa,Africa
Countries and country groupings/Asia and the Pacific,Asia and the Pacific
Countries and country groupings/Europe,Europe
Information and communication/Information sources,Drawings
"Politics, law and economics/Economics",Private sector
Culture/Visual arts,Murals
Culture/Religion,Voodoo
Science/Space sciences,Satellites
"Politics, law and economics/Materials and products",Pesticides
Science/Medical sciences,Pharmacists
"Politics, law and economics/Politics and government",Guerrilla activities
Culture/Literature,Legends
"Politics, law and economics/Industry",Industrial planning
Education/Educational management,Academic year
Education/Educational policy,Educational development
Social and human sciences/Psychology,Creativity
Culture/Leisure,Athletes
Science/Physical sciences,Optics
Information and communication/Information technology (software),Telecommunications
Culture/Philosophy and ethics,Idealism
"Science/Pollution, disasters and safety",Eutrophication
Science/Chemical sciences,Organic matter
Science/Mathematics and statistics,Set theory
Science/Geography and oceanography,Ocean circulation
"Politics, law and economics/Politics and government",Political theory
Education/Curriculum,Orientation courses
Social and human sciences/Social systems,Youth movements
Information and communication/Documentary information systems,Agricultural libraries
"Politics, law and economics/Manufacturing and transport engineering",Glass technology
"Politics, law and economics/Politics and government",Elections
Social and human sciences/Human settlements and land use,Housing policy
Culture/Cultural policy and planning,Fashion
Information and communication/Documentary information processing,Information dissemination
Science/Geography and oceanography,Indian Ocean
Education/Basic and general study subjects,Humanities education
Social and human sciences/Social sciences,Social psychology
Science/Chemical sciences,Chemical kinetics
"Politics, law and economics/Politics and government",Political parties
Education/Educational institutions,Special schools
"Politics, law and economics/Equipment and facilities",Railway stations
Information and communication/Communication research and policy,Access to information
Culture/Languages,Tajik
Countries and country groupings/Europe,Georgian SSR
"Politics, law and economics/Services",Traffic
Education/Technical and vocational study subjects,Veterinary education
Science/Environmental sciences and engineering,Sewers
"Politics, law and economics/Economic and social development",Integrated development
Countries and country groupings/Asia and the Pacific,Mongolia
Science/Space sciences,Quasars
Culture/Art,Actors
Culture/Languages,Hamitic languages
Countries and country groupings/Africa,Zambia
"Politics, law and economics/Economics",Dependence
Education/Educational administration,Teacher responsibility
"Science/Pollution, disasters and safety",Earthquake prediction
Countries and country groupings/Geographic groupings,Andean countries
Social and human sciences/Population,Adolescence
Countries and country groupings/Asia and the Pacific,Indonesia
Culture/Cultural policy and planning,Cultural agreements
Countries and country groupings/Asia and the Pacific,Solomon Islands
Education/Educational sciences and environment,Classroom environment
Social and human sciences/Ethnic questions,Racial prejudice
"Politics, law and economics/Equipment and facilities",Plankton recorders
Education/Educational systems and levels,Special needs education
Culture/Museums,Museum facilities
"Politics, law and economics/Economic and social development",Development aid
Information and communication/Information management,Information/library administration
"Politics, law and economics/Politics and government",Women in politics
Culture/Literature,Literary criticism
Countries and country groupings/Europe,Greece
Information and communication/Documentary information systems,Archive facilities
Countries and country groupings/Europe,Northern Europe
Education/Educational policy,Access to education
Information and communication/Information industry,Editors
Education/Educational evaluation,Examinations
Science/Physical sciences,Hydrodynamics
"Politics, law and economics/Politics and government",Government policy
Culture/Linguistics,Translators
Information and communication/Communication research and policy,Free flow of information
Education/Technical and vocational study subjects,Museum training
Information and communication/Communication research and policy,Communication finance
Education/Educational institutions,Associated schools
Science/Medical sciences,Medical rehabilitation
"Science/Pollution, disasters and safety",Flood control
Countries and country groupings/Europe,Greenland
Culture/Museums,Museum visits
"Politics, law and economics/Finance and trade",Capital
Information and communication/Information industry,Computer personnel
"Politics, law and economics/International relations",Bilateral relations
"Politics, law and economics/Politics and government",Imperialism
Education/Educational systems and levels,Child rearing
Education/Educational planning,Transition from school to work
"Politics, law and economics/Finance and trade",Marketing
Culture/Linguistics,Semiology
Information and communication/Information sources,Visual materials
Science/Mathematics and statistics,Numerical analysis
Information and communication/Communication research and policy,Speech
Social and human sciences/Social problems,Extremism
"Politics, law and economics/Agriculture",Agroforestry
Countries and country groupings/Economic groupings,Small island developing states
Culture/History,Historical research
"Politics, law and economics/Human rights",Freedom of association
Culture/Linguistics,Phonetics
Culture/Religion,Islam
Social and human sciences/Ethnic questions,Asians
Countries and country groupings/Asia and the Pacific,Taiwan China
Education/Educational administration,Student organizations
"Politics, law and economics/Economics",Supply and demand
Social and human sciences/Social systems,Social inequality
Culture/History,Historical periods
Information and communication/Information sciences,Microforms
Culture/Religion,Christians
Culture/Languages,Serbocroatian
"Politics, law and economics/Legal systems",Cyberspace law
"Politics, law and economics/Economics",Business cycles
Science/Natural resources,Mangrove areas
Education/Basic and general study subjects,Life skills
Social and human sciences/Family,Kinship
Information and communication/Documentary information systems,Medical information systems
"Politics, law and economics/Legal systems",Legislation
Culture/History,Palaeolithic
"Politics, law and economics/Labour",Manpower
Countries and country groupings/Europe,Lithuanian SSR
Countries and country groupings/Americas and the Caribbean,Netherlands Antilles
"Science/Pollution, disasters and safety",Volcanic eruptions
Science/Scientific approach,Surveys
Education/Basic and general study subjects,Education for sustainable development
Social and human sciences/Psychology,Psychological tests
"Politics, law and economics/Politics and government",Protest movements
"Politics, law and economics/Civil, military and mining engineering",Building operations
"Politics, law and economics/Equipment and facilities",Solar stills
Information and communication/Information sciences,ISBD
Social and human sciences/Social systems,Information society
Information and communication/Information sources,Bibliographies of bibliographies
Culture/Art,Religious art
"Politics, law and economics/Finance and trade",Income tax
Culture/Leisure,Cultural events
Education/Educational systems and levels,Early childhood education
"Science/Pollution, disasters and safety",Radiation protection
"Politics, law and economics/Human rights",Self determination
Science/Scientific approach,Science of science
Science/Scientific approach,Scientific expeditions
"Politics, law and economics/Civil, military and mining engineering",Military strategy
Science/Biology,Digestive systems
Information and communication/Information technology (hardware),Computer systems
"Politics, law and economics/Civil, military and mining engineering",Coastal protection
Education/Basic and general study subjects,Sexuality education
Science/Biology,Hormones
"Politics, law and economics/Politics and government",Civil service
"Politics, law and economics/Organization and management",Network analysis
"Politics, law and economics/International relations",Diplomatic immunity
Social and human sciences/Social systems,Intelligentsia
Education/Teaching and training,Refresher courses
"Politics, law and economics/Materials and products",Vegetables
Information and communication/Information industry,Community media
Education/Educational planning,Class size
Science/Hydrology,Water chemistry
Science/Biology,Enzymes
Science/Physical sciences,Cooling
Information and communication/Information technology (hardware),Optical discs
Countries and country groupings/Americas and the Caribbean,Montserrat
"Politics, law and economics/Organization and management",Professional associations
Science/Environmental sciences and engineering,Energy policy
"Politics, law and economics/Manufacturing and transport engineering",Chemical technology
Social and human sciences/Family,Contraception
Countries and country groupings/Americas and the Caribbean,Chile
Culture/Culture,Central Asian cultures
Science/Geography and oceanography,Physical geography
"Politics, law and economics/Materials and products",Ceramics
Education/Educational systems and levels,Formal education
Countries and country groupings/Africa,Mozambique
Countries and country groupings/Africa,Equatorial Guinea
Countries and country groupings/Europe,Spain
Science/Biology,Cells
Social and human sciences/Population,Population policy
Social and human sciences/Social policy and welfare,Residential child care
Social and human sciences/Family,Marital status
Countries and country groupings/Africa,Gabon
Education/Educational evaluation,Reading tests
Education/Educational administration,Educational articulation
"Politics, law and economics/Civil, military and mining engineering",Building design
Information and communication/Information industry,Communication industry
"Politics, law and economics/Politics and government",Central government
Countries and country groupings/Asia and the Pacific,Tonga
Culture/Art,National art
Science/Hydrology,Groundwater
Science/Biology,Calories
Social and human sciences/Social problems,Vandalism
Science/Earth sciences,Biogeochemistry
"Politics, law and economics/Equipment and facilities",Warning systems
Social and human sciences/Ethnic questions,Arabs
Countries and country groupings/Africa,Southern Africa
Science/Environmental sciences and engineering,Environmental chemistry
Social and human sciences/Family,Abortion
Education/Educational planning,Educational efficiency
"Politics, law and economics/Manufacturing and transport engineering",Biotechnology
Science/Pathology,Skin diseases
Culture/Culture,Baltic cultures
Countries and country groupings/Americas and the Caribbean,USA
Education/Technical and vocational study subjects,Geology education
Science/Science and research management,Geographers
Information and communication/Documentary information systems,Archives
"Politics, law and economics/Manufacturing and transport engineering",Metallurgy
Science/Natural sciences,Reptiles
Culture/Cultural policy and planning,Cultural centres
Science/Medical sciences,Drug control
